date,date_pretty,day_description,evening_name,rcl_track_1,rcl_track_2,morning_prayers_together,evening_prayers_together
2025/08/26,"Tuesday, August 26, 2025",Week of 21st Sunday in Ordinary Time,,,,Psalm 73; Proverbs 1:20–end; Mark 3:7–19a,Psalm 74; 1 Samuel 26; Acts 4:1–12
2025/08/27,"Wednesday, August 27, 2025",Week of 21st Sunday in Ordinary Time,,,,Psalm 77; Proverbs 2; Mark 3:19b–end,Psalm 119:81-104; 1 Samuel 28:3–end; Acts 4:13–31
2025/08/28,"Thursday, August 28, 2025",Week of 21st Sunday in Ordinary Time,,,,Psalm 78:1-39*; Proverbs 3:1–26; Mark 4:1–20,Psalm 78:40-end; 1 Samuel 31; Acts 4:32–5:11
2025/08/29,"Friday, August 29, 2025",Week of 21st Sunday in Ordinary Time,,,,Psalm 55; Proverbs 3:27–4:19; Mark 4:21–34,Psalm 69; 2 Samuel 1; Acts 5:12–26
2025/08/30,"Saturday, August 30, 2025",Week of 21st Sunday in Ordinary Time,,,,Psalm 76; Proverbs 6:1–19; Mark 4:35–end,Psalm 84; 2 Samuel 2:1–11; Acts 5:27–end
2025/08/31,"Sunday, August 31, 2025",22nd Sunday in Ordinary Time,,"Psalm 112; Proverbs 25:6-7; Hebrews 13:1-8,15-16; Luke 14:1","Psalm 81:1,10-16*; Jeremiah 2:4-13; Hebrews 13:1-8,15-16; Luke 14:1,7-14",Psalm 119:161-176; Jonah 3:1-9; Revelation 3:14-22,Psalm 119:81-96*; Isaiah 33:13-22; John 3:22-36
2025/09/01,"Monday, September 1, 2025",Week of 22nd Sunday in Ordinary Time,,,,Psalm 80; Proverbs 8:1–21; Mark 5:1–20,Psalm 85; 2 Samuel 3:12–end; Acts 6
2025/09/02,"Tuesday, September 2, 2025",Week of 22nd Sunday in Ordinary Time,,,,Psalm 89:1-18; Proverbs 8:22–end; Mark 5:21–34,Psalm 89:19-end; 2 Samuel 5:1–12; Acts 7:1–16
2025/09/03,"Wednesday, September 3, 2025",Week of 22nd Sunday in Ordinary Time,,,,Psalm 119:105-128; Proverbs 9; Mark 5:35–end,Psalm 91; 2 Samuel 6:1–19; Acts 7:17–43
2025/09/04,"Thursday, September 4, 2025",Week of 22nd Sunday in Ordinary Time,,,,Psalm 92; Proverbs 10:1–12; Mark 6:1–13,Psalm 94; 2 Samuel 7:1–17; Acts 7:44–53
2025/09/05,"Friday, September 5, 2025",Week of 22nd Sunday in Ordinary Time,,,,Psalm 88; Proverbs 11:1–12; Mark 6:14–29,Psalm 102; 2 Samuel 7:18–end; Acts 7:54–8:3
2025/09/06,"Saturday, September 6, 2025",Week of 22nd Sunday in Ordinary Time,,,,Psalm 97; Proverbs 12:10–end; Mark 6:30–44,Psalm 104; 2 Samuel 9; Acts 8:4–25
2025/09/07,"Sunday, September 7, 2025",23rd Sunday in Ordinary Time,,Psalm 1; Deuteronomy 30:15-20; Philemon 1-21; Luke 14:25-33,"Psalm 139:1-5,12-18*; Jeremiah 18:1-11; Philemon 1-21; Luke 14:25-33","Psalm 122,123; Jonah 3:10-4:11; Revelation 8:1-5",Psalm 121; Isaiah 43:14-44:5; John 5:30-47
2025/09/08,"Monday, September 8, 2025",Week of 23rd Sunday in Ordinary Time,,,,Psalm 98; Proverbs 14:31–15:17; Mark 6:45–end,Psalm 105*; 2 Samuel 11; Acts 8:26–end
2025/09/09,"Tuesday, September 9, 2025",Week of 23rd Sunday in Ordinary Time,,,,Psalm 106*; Proverbs 15:18–end; Mark 7:1–13,Psalm 107*; 2 Samuel 12:1–25; Acts 9:1–19a
2025/09/10,"Wednesday, September 10, 2025",Week of 23rd Sunday in Ordinary Time,,,,Psalm 111; Proverbs 18:10–end; Mark 7:14–23,Psalm 119:129-152; 2 Samuel 15:1–12; Acts 9:19b–31
2025/09/11,"Thursday, September 11, 2025",Week of 23rd Sunday in Ordinary Time,,,,Psalm 115; Proverbs 20:1–22; Mark 7:24–30,Psalm 116; 2 Samuel 15:13–end; Acts 9:32–end
2025/09/12,"Friday, September 12, 2025",Week of 23rd Sunday in Ordinary Time,,,,Psalm 139; Proverbs 22:1–16; Mark 7:31–end,Psalm 130; 2 Samuel 16:1–14; Acts 10:1–16
2025/09/13,"Saturday, September 13, 2025",Week of 23rd Sunday in Ordinary Time,Eve of Holy Cross Day,,,Psalm 121; Proverbs 24:23–end; Mark 8:1–10,Psalm 66; Isaiah 52:13-53:12; Ephesians 2:11-22
2025/09/14,"Sunday, September 14, 2025",Holy Cross Day,,Psalm 51:1-11; Exodus 32:7-14; 1 Timothy 1:12-17; Luke 15:1-10,"Psalm 14; Jeremiah 4:11-12,22-28; 1 Timothy 1:12-17; Luke 15:1-10","Psalm 2,8,146; Genesis 3:1-15; John 12:27-36a","Psalm 110,150; Isaiah 63:1-16; 1 Corinthians 1:18-25"
2025/09/15,"Monday, September 15, 2025",Week of 24th Sunday in Ordinary Time,,,,Psalm 126; Proverbs 25:1–14; Mark 8:11–21,Psalm 127; 2 Samuel 18:1–18; Acts 10:34–end
2025/09/16,"Tuesday, September 16, 2025",Week of 24th Sunday in Ordinary Time,,,,Psalm 132; Proverbs 25:15–end; Mark 8:22–26,Psalm 135; 2 Samuel 18:19–19:8a; Acts 11:1–18
2025/09/17,"Wednesday, September 17, 2025",Week of 24th Sunday in Ordinary Time,,,,Psalm 119:153-end; Proverbs 26:12–end; Mark 8:27–9:1,Psalm 136; 2 Samuel 19:8b–23; Acts 11:19–end
2025/09/18,"Thursday, September 18, 2025",Week of 24th Sunday in Ordinary Time,,,,Psalm 143; Proverbs 27:1–22; Mark 9:2–13,Psalm 138; 2 Samuel 19:24–end; Acts 12:1–17
2025/09/19,"Friday, September 19, 2025",Week of 24th Sunday in Ordinary Time,,,,"Psalm 144; Proverbs 30:1–9,30:24–31; Mark 9:14–29",Psalm 145; 2 Samuel 23:1–7; Acts 12:18–end
2025/09/20,"Saturday, September 20, 2025",Week of 24th Sunday in Ordinary Time,Eve of St Matthew,,,Psalm 147; Proverbs 31:10–end; Mark 9:30–37,Psalm 34; Isaiah 33:13-17; Matthew 6:19-34
